Player Img,Player Name,Role,Matches Played,Total Kills,KDA Ratio,Total Assists,Average Kills,Total Deaths,Average Deaths,Average Assists,Win Rate
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---team-flash/new/cover_w368_h460_crop-poto_hadess.png.webp,Hadess,Jungler,8,19,2.38,14,1.75,35,4.38,3.90,65%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---rrq/new/cover_w368_h460_crop-poto_tekashi.png.webp,Tekashi,EXP Laner,8,19,2.38,22,2.75,30,3.75,2.20,54%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---burmese-ghouls/new/cover_w368_h460_crop-poto_shadow.png.webp,Shadow,EXP Laner,8,18,2.25,31,3.88,61,7.63,2.50,70%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---tob/new/cover_w368_h460_crop-poto_mielow.png.webp,Mielow,EXP Laner,8,17,2.13,24,3.00,48,6.00,2.70,74%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---team-flash/new/cover_w368_h460_crop-poto_adammir.png.webp,Adammir,EXP Laner,8,16,2.00,17,2.13,26,3.25,2.50,46%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---tob/new/cover_w368_h460_crop-poto_bestplayer1.png.webp,Bestplayer1,Jungler,8,16,2.00,22,2.75,57,7.13,3.30,83%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---rrq/new/cover_w368_h460_crop-poto_kiing.png.webp,Kiing,Jungler,8,15,1.88,14,1.75,43,5.38,4.10,76%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-smg/new/cover_w368_h460_crop-poto_stormie.png.webp,Stormie,Mid Laner,8,15,1.88,16,2.00,46,5.75,3.80,75%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---team-flash/new/cover_w368_h460_crop-poto_jayy.png.webp,Jayy,Mid Laner,8,14,1.75,14,1.75,42,5.25,4.00,63%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---rrq/new/cover_w368_h460_crop-poto_seigen.png.webp,Seigen,Mid Laner,8,12,1.50,7,0.88,50,6.25,8.90,86%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---homebois/new/cover_w368_h460_crop-poto_sepat.png.webp,Sepat,EXP Laner,8,12,1.50,22,2.75,47,5.88,2.70,56%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-smg/new/cover_w368_h460_crop-poto_smooth.png.webp,Smooth,EXP Laner,8,11,1.38,24,3.00,40,5.00,2.10,62%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---tob/new/cover_w368_h460_crop-poto_shark.png.webp,SUPERSHARK,Roamer,8,9,1.13,19,2.38,63,7.88,3.80,71%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---homebois/new/cover_w368_h460_crop-poto_xorn.png.webp,Xorn,Roamer,8,8,1.00,38,4.75,74,9.25,2.20,74%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---rrq/new/cover_w368_h460_crop-poto_luiizz.png.webp,Luiizz,Roamer,8,4,0.50,18,2.25,44,5.50,2.70,70%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---team-flash/cover_w368_h460_368x460_loisie-new.png.webp,Lolsie,Roamer,8,3,0.38,20,2.50,42,5.25,2.30,54%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-smg/new/cover_w368_h460_crop-poto_mikko.png.webp,Mikko,Roamer,8,2,0.25,14,1.75,58,7.25,4.30,70%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_crop-poto_sano.png.webp,Saano,Jungler,7,21,3.00,21,3.00,24,3.43,2.10,62%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_crop-poto_cuffin.png.webp,Cuffin,Mid Laner,7,15,2.14,13,1.86,42,6.00,4.40,78%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/m5-player/m5---triple-esport/new/cover_w368_h460_crop-poto_sanji.png.webp,Sanjii,EXP Laner,7,15,2.14,20,2.86,29,4.14,2.20,62%
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/player/wildcard-player/team-lilgun/new/cover_w368_h460_crop-poto_bebex.png.webp,Bebex,Gold Laner,7,14,2.00,12,1.71,18,2.57,2.70,67%
