Hero Img,Hero,Pick,Pick Rate,Ban,Ban Rate,Win Rate,Average KDA,Average Kill,Average Death,Average Assist
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_95_KOTAK.png.webp,Yu Zhong,13,11%,8,7%,46%,4.28,2.23,2.92,5.23
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_120_KOTAK.png.webp,Arlott,52,45%,34,30%,44%,3.50,1.75,3.08,5.21
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_58_KOTAK.png.webp,Martis,34,30%,12,10%,44%,4.52,4.09,2.56,3.74
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_72_KOTAK.png.webp,Thamuz,7,6%,1,1%,43%,3.11,2.29,2.71,3.71
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_100_KOTAK.png.webp,Brody,38,33%,17,15%,42%,3.95,3.63,1.92,2.55
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_62_KOTAK.png.webp,Kaja,20,17%,28,24%,40%,4.32,0.65,2.65,6.50
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_26_KOTAK.png.webp,Chou,15,13%,5,4%,40%,2.50,0.60,3.20,6.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_87_KOTAK.png.webp,Baxia,38,33%,42,37%,39%,5.26,1.32,1.92,6.39
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_106_KOTAK.png.webp,Phoveus,8,7%,29,25%,38%,4.69,2.88,3.63,7.50
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_59_KOTAK.png.webp,Uranus,8,7%,7,6%,38%,3.77,1.50,3.13,7.13
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_9_KOTAK.png.webp,Akai,27,23%,13,11%,37%,4.55,1.19,2.15,5.74
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_51_KOTAK.png.webp,Helcurt,3,3%,1,1%,33%,2.83,1.33,2.33,5.33
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_55_KOTAK.png.webp,Angela,25,22%,39,34%,32%,5.54,1.20,1.64,6.40
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_43_KOTAK.png.webp,Irithel,10,9%,0,0%,30%,3.74,2.50,1.90,3.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_10_KOTAK.png.webp,Franco,5,4%,1,1%,20%,3.98,0.20,3.00,7.40
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_112_KOTAK.png.webp,Floryn,4,3%,0,0%,0%,1.33,0.50,3.00,3.75
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_21_KOTAK.png.webp,Hayabusa,3,3%,0,0%,0%,0.72,1.33,2.67,0.67
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_109_KOTAK.png.webp,Aamon,1,1%,0,0%,0%,0.67,1.00,3.00,1.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_13_KOTAK.png.webp,Clint,1,1%,0,0%,0%,6.00,3.00,1.00,3.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_68_KOTAK.png.webp,Lunox,1,1%,0,0%,0%,0.00,0.00,1.00,0.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_96_KOTAK.png.webp,Luo Yi,1,1%,0,0%,0%,4.00,1.00,2.00,7.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_81_KOTAK.png.webp,Esmeralda,0,0%,1,1%,0%,0.00,0.00,0.00,0.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_74_KOTAK.png.webp,Minsitthar,0,0%,1,1%,0%,0.00,0.00,0.00,0.00
https://m5.mobilelegends.com/cfind/convert/webp/thumb/images/hero m5/contain_w160_h130_HERO_52_KOTAK.png.webp,Pharsa,0,0%,1,1%,0%,0.00,0.00,0.00,0.00
